name,company,place,salary,education,experience,label,scale,href,key_word
python后台开发工程师,小赢科技,北京-海淀区,20-25k·14薪,本科,3-5年,小赢科技 美股上市,100-499人,https://www.liepin.com/job/1966657029.shtml,Python
大模型应用开发-go/python研发工程师（J94477）,Baidu,北京-海淀区,25-45k·16薪,统招本科,1-3年,Baidu 美股上市,10000人以上,https://www.liepin.com/job/1977762779.shtml,Python
Python开发工程师（转行大模型的职位）,商汤科技SenseTime,北京-海淀区,28-35k·15薪,统招本科,经验不限,商汤科技SenseTime 港股上市,2000-5000人,https://www.liepin.com/job/1966624017.shtml,Python
Python,,北京-昌平区,20-40k·16薪,本科,经验不限,人力资源服务 已上市,10000人以上,https://www.liepin.com/a/70951583.shtml,Python
Python开发工程师,,北京-房山区,40-60k·16薪,本科,1-3年,某深圳人力资源服务公司,1-49人,https://www.liepin.com/a/70298841.shtml,Python
Python数据工程师,某知名公司,北京-海淀区,50-80k·15薪,统招本科,3年以上,某知名公司 B轮,100-499人,https://www.liepin.com/a/71459483.shtml,Python
Python后端开发工程师,某北京科技推广服务公司,北京,30-60k·15薪,统招本科,3-5年,某北京科技推广服务公司,,https://www.liepin.com/a/70288873.shtml,Python
Python后端开发工程师,某北京IT服务公司,北京,20-30k,统招本科,3-5年,某北京IT服务公司 融资未公开,100-499人,https://www.liepin.com/a/69024419.shtml,Python
后端开发工程师（Python）,某北京IT服务公司,北京,16-25k,统招本科,3-5年,某北京IT服务公司 融资未公开,100-499人,https://www.liepin.com/a/71365543.shtml,Python
Python工程师,某北京电力/热力/燃气/水务公司,北京-西城区,15-16k,本科,3-5年,某北京电力/热力/燃气/水务公司 不需要融资,100-499人,https://www.liepin.com/a/71327551.shtml,Python
Python开发工程师,某知名公司,北京,10-13k,大专,3-5年,某知名公司,100-499人,https://www.liepin.com/a/71088927.shtml,Python
Python开发工程师,某知名公司,北京-海淀区,17-30k,硕士,1年以上,某知名公司,2000-5000人,https://www.liepin.com/a/70479339.shtml,Python
Python开发,某北京基金/证券/期货公司,北京-朝阳区,40-70k·15薪,统招本科,3-5年,某北京基金/证券/期货公司 不需要融资,50-99人,https://www.liepin.com/a/71207753.shtml,Python
Python高级工程师,盈美信科技投资有限公司,北京-朝阳区,25-40k·15薪,统招本科,3年以上,盈美信科技投资有限公司 不需要融资,100-499人,https://www.liepin.com/job/1979535789.shtml,Python
Python开发工程师--接受断档 转码 公/研落水,某世界500强通信设备公司,北京-海淀区,15-30k·14薪,统招本科,经验不限,某世界500强通信设备公司 战略融资,10000人以上,https://www.liepin.com/a/69046621.shtml,Python
Python开发工程师,欧立腾中国(Alten China),北京-东城区,15-25k·13薪,统招本科,5年以上,欧立腾中国(Alten China),1000-2000人,https://www.liepin.com/job/1979602457.shtml,Python
服务端工程师(go/python),某北京大型科技金融公司,北京,40-60k·14薪,统招本科,3年以上,某北京大型科技金融公司 已上市,1000-2000人,https://www.liepin.com/a/71375561.shtml,Python
Python开发工程师,,北京-朝阳区,15-20k,统招本科,1-5年,汽车零部件及配件 已上市,5000-10000人,https://www.liepin.com/a/71114331.shtml,Python
Python数据开发工程师,某量化私募,北京,30-60k·16薪,本科,1-3年,某量化私募,1-49人,https://www.liepin.com/a/69732533.shtml,Python
量化开发工程师（python）,,北京-房山区,40-60k·16薪,本科,3年以下,某深圳人力资源服务公司,1-49人,https://www.liepin.com/a/70298737.shtml,Python
Python开发工程师,某北京大型互联网公司,北京,13-15k,本科,3-5年,某北京大型互联网公司 已上市,10000人以上,https://www.liepin.com/a/71567075.shtml,Python
python（双休 大厂 年终奖),某深圳大型通信设备公司,北京,14-28k·14薪,本科,经验不限,某深圳大型通信设备公司 战略融资,10000人以上,https://www.liepin.com/a/70860647.shtml,Python
Python开发工程师,某基金/证券/期货公司,北京,35-65k·15薪,统招本科,3年以上,某基金/证券/期货公司 融资未公开,100-499人,https://www.liepin.com/a/71426911.shtml,Python
Python开发工程师 (MJ000934),零氪科技,北京-海淀区,15-20k·14薪,本科,3-5年,零氪科技,500-999人,https://www.liepin.com/job/1966191225.shtml,Python
Python工程师,某北京基金/证券/期货公司,北京-海淀区,35-55k·16薪,统招本科,3-5年,某北京基金/证券/期货公司 融资未公开,100-499人,https://www.liepin.com/a/71173735.shtml,Python
,,,,,,,,https://www.liepin.com/job/1966214225.shtml,Python
"全栈开发(Agent经验/熟悉Python,React,Ai)北京/上海/深圳",某北京互联网公司,北京-朝阳区,15-30k,本科,3-5年,某北京互联网公司 D轮及以上,100-499人,https://www.liepin.com/a/69861729.shtml,Python
25-45K*16薪 后端开发工程师（Python或Golang）,某北京互联网公司,北京,25-45k,本科,2年以上,某北京互联网公司 天使轮,100-499人,https://www.liepin.com/a/71132969.shtml,Python
Python软件工程师,某北京医疗器械公司,北京,20-25k,大专,1-3年,某北京医疗器械公司 融资未公开,100-499人,https://www.liepin.com/a/69632223.shtml,Python
Python开发,,北京-海淀区,30-40k,学历不限,经验不限,某北京人工智能公司 A轮,1-49人,https://www.liepin.com/a/71550919.shtml,Python
,,,,,,,,https://www.liepin.com/job/1965500495.shtml,Python
软件开发通用岗（Java/C/C++/python）,某深圳大型通信设备公司,北京,11-21k,学历不限,经验不限,某深圳大型通信设备公司 战略融资,10000人以上,https://www.liepin.com/a/70592815.shtml,Python
Python 开发工程师（前期出差+全额社保）,凯捷咨询(中国)有限公司,北京-东城区,18-23k·13薪,本科,5-10年,凯捷咨询(中国)有限公司,5000-10000人,https://www.liepin.com/job/1979511995.shtml,Python
Python开发工程师,某基金/证券/期货公司,北京,30-55k·16薪,本科,经验不限,某基金/证券/期货公司 不需要融资,50-99人,https://www.liepin.com/a/69249149.shtml,Python
高级python数据开发工程师 LJ,某知名公司,北京-海淀区,35-60k·16薪,统招本科,5年以上,某知名公司 不需要融资,100-499人,https://www.liepin.com/a/70827591.shtml,Python
Python开发工程师,,北京-海淀区,18-25k,本科,经验不限,北京阿米奥机器人科技有限公司 A轮,50-99人,https://www.liepin.com/job/1979435039.shtml,Python
Python开发工程师,亚信科技,北京-海淀区,15-22k·13薪,本科,3年以上,亚信科技 港股上市,10000人以上,https://www.liepin.com/job/1974571953.shtml,Python
c++、python,某北京大型计算机软件公司,北京,15-20k,统招本科,5年以上,某北京大型计算机软件公司 融资未公开,2000-5000人,https://www.liepin.com/a/70728519.shtml,Python
python开发工程师,某北京基金证券公司,北京,30-60k·16薪,统招本科,经验不限,某北京基金证券公司 融资未公开,100-499人,https://www.liepin.com/a/71065301.shtml,Python
Python开发工程师,同道猎聘集团,北京,20-30k·14薪,统招本科,2-5年,同道猎聘集团 港股上市,2000-5000人,https://www.liepin.com/job/1978867709.shtml,Python
AI后端开发-Java/Python,某云计算/大数据公司,北京,25-35k,统招本科,3-5年,某云计算/大数据公司 A轮,50-99人,https://www.liepin.com/a/70474409.shtml,Python
Python工程师,某北京大型计算机软件公司,北京,40-60k·14薪,学历不限,经验不限,某北京大型计算机软件公司 融资未公开,500-999人,https://www.liepin.com/a/70824171.shtml,Python
